FROM,TO,WEIGHT
ATM_102,ATM_025,152
ATM_072,ATM_028,1891
ATM_069,ATM_070,109
ATM_087,ATM_120,1117
ATM_066,ATM_059,327
ATM_036,ATM_037,1
ATM_089,ATM_120,159
ATM_046,ATM_048,20
ATM_115,ATM_076,462
ATM_069,ATM_114,135
ATM_078,ATM_089,1334
ATM_005,ATM_006,91
ATM_093,ATM_094,2
ATM_110,ATM_111,20
ATM_039,ATM_040,2
ATM_087,ATM_117,120
ATM_085,ATM_084,96
ATM_058,ATM_059,93
ATM_076,ATM_069,138
ATM_035,ATM_039,365
ATM_091,ATM_089,1184
ATM_071,ATM_113,2079
ATM_012,ATM_004,110
ATM_030,ATM_029,26
ATM_027,ATM_028,336
ATM_072,ATM_113,639
ATM_079,ATM_103,1572
ATM_067,ATM_057,240
ATM_051,ATM_053,5
ATM_101,ATM_099,2
ATM_031,ATM_020,327
ATM_063,ATM_064,2
ATM_036,ATM_038,147
ATM_096,ATM_095,1
ATM_048,ATM_045,14
ATM_058,ATM_066,241
ATM_006,ATM_004,120
ATM_068,ATM_069,2
ATM_040,ATM_036,158
ATM_025,ATM_024,79
ATM_023,ATM_020,247
ATM_090,ATM_121,637
ATM_040,ATM_037,157
ATM_022,ATM_032,347
ATM_019,ATM_095,120
ATM_023,ATM_024,245
ATM_068,ATM_114,136
ATM_119,ATM_120,855
ATM_020,ATM_096,80
ATM_080,ATM_081,18
ATM_076,ATM_114,4
ATM_013,ATM_018,170
ATM_106,ATM_105,2
ATM_082,ATM_084,297
ATM_043,ATM_044,2
ATM_010,ATM_005,177
ATM_108,ATM_104,416
ATM_041,ATM_044,111
ATM_024,ATM_097,71
ATM_060,ATM_112,184
ATM_042,ATM_047,142
ATM_015,ATM_014,5
ATM_068,ATM_070,109
ATM_063,ATM_062,129
ATM_026,ATM_027,32
ATM_075,ATM_076,547
ATM_018,ATM_012,152
ATM_041,ATM_042,20
ATM_032,ATM_020,327
ATM_090,ATM_091,1
ATM_005,ATM_004,154
ATM_108,ATM_111,360
ATM_008,ATM_028,791
ATM_009,ATM_007,203
ATM_056,ATM_055,125
ATM_118,ATM_117,1487
ATM_026,ATM_103,144
ATM_073,ATM_074,2
ATM_050,ATM_055,68
ATM_116,ATM_103,1590
ATM_088,ATM_117,1504
ATM_006,ATM_011,147
ATM_017,ATM_016,266
ATM_065,ATM_061,556
ATM_010,ATM_004,156
ATM_051,ATM_054,7
ATM_030,ATM_009,283
ATM_071,ATM_090,2280
ATM_036,ATM_039,156
ATM_049,ATM_055,64
ATM_001,ATM_015,117
ATM_007,ATM_004,179
ATM_052,ATM_054,5
ATM_086,ATM_084,505
ATM_037,ATM_039,155
ATM_021,ATM_024,394
ATM_019,ATM_094,121
ATM_072,ATM_073,2
ATM_011,ATM_012,23
ATM_043,ATM_042,115
ATM_034,ATM_112,323
ATM_104,ATM_030,268
ATM_071,ATM_121,1645
ATM_042,ATM_044,114
ATM_007,ATM_008,2
ATM_108,ATM_110,364
ATM_118,ATM_081,1589
ATM_083,ATM_084,2
ATM_015,ATM_016,24
ATM_009,ATM_010,2
ATM_075,ATM_115,154
ATM_116,ATM_027,1641
ATM_073,ATM_113,640
ATM_003,ATM_015,169
ATM_004,ATM_011,64
ATM_106,ATM_107,1
ATM_077,ATM_076,453
ATM_085,ATM_083,98
ATM_077,ATM_115,11
ATM_037,ATM_038,148
ATM_111,ATM_033,1070
ATM_061,ATM_034,427
ATM_050,ATM_109,98
ATM_098,ATM_097,1
ATM_087,ATM_089,1150
ATM_001,ATM_002,2
ATM_098,ATM_099,1
ATM_080,ATM_083,315
ATM_045,ATM_046,5
ATM_081,ATM_084,329
ATM_035,ATM_041,239
ATM_051,ATM_052,2
ATM_070,ATM_114,225
ATM_017,ATM_003,233
ATM_046,ATM_047,14
ATM_105,ATM_107,2
ATM_079,ATM_027,1620
ATM_078,ATM_120,1312
ATM_014,ATM_001,123
ATM_018,ATM_017,2
ATM_088,ATM_081,1553
ATM_052,ATM_053,2
ATM_022,ATM_031,349
ATM_080,ATM_084,318
ATM_002,ATM_056,246
ATM_072,ATM_074,4
ATM_099,ATM_097,2
ATM_002,ATM_003,136
